timestamp,file,accuracy,note
2026-07-24T17:07:20.293Z,precision-screwdrivers.jpg,0.708851,seed-cc-v2
2026-07-24T17:07:20.293Z,red-screwdrivers.jpg,0.801659,seed-cc-v2
2026-07-24T17:07:20.644Z,mean,0.604230,verify-tuned
2026-07-24T17:07:20.644Z,knifes.jpg,0.410389,verify-tuned
2026-07-24T17:07:20.644Z,nose-plier.jpg,0.496022,verify-tuned
2026-07-24T17:07:20.644Z,precision-screwdrivers.jpg,0.708851,verify-tuned
2026-07-24T17:07:20.644Z,red-screwdrivers.jpg,0.801659,verify-tuned
2026-07-24T17:07:31.690Z,mean,0.604230,grabcut-v1
2026-07-24T17:07:31.690Z,knifes.jpg,0.410389,grabcut-v1
2026-07-24T17:07:31.690Z,nose-plier.jpg,0.496022,grabcut-v1
2026-07-24T17:07:31.690Z,precision-screwdrivers.jpg,0.708851,grabcut-v1
2026-07-24T17:07:31.690Z,red-screwdrivers.jpg,0.801659,grabcut-v1
2026-07-24T17:08:25.713Z,mean,0.582960,grabcut-v1
2026-07-24T17:08:25.713Z,knifes.jpg,0.414889,grabcut-v1
2026-07-24T17:08:25.713Z,nose-plier.jpg,0.543802,grabcut-v1
2026-07-24T17:08:25.713Z,precision-screwdrivers.jpg,0.654096,grabcut-v1
2026-07-24T17:08:25.713Z,red-screwdrivers.jpg,0.719053,grabcut-v1
2026-07-24T17:08:25.809Z,mean,0.582960,verify-tuned
2026-07-24T17:08:25.809Z,knifes.jpg,0.414889,verify-tuned
2026-07-24T17:08:25.809Z,nose-plier.jpg,0.543802,verify-tuned
2026-07-24T17:08:25.809Z,precision-screwdrivers.jpg,0.654096,verify-tuned
2026-07-24T17:08:25.809Z,red-screwdrivers.jpg,0.719053,verify-tuned
2026-07-24T17:08:48.071Z,mean,0.582960,fringe-v1
2026-07-24T17:08:48.071Z,knifes.jpg,0.414889,fringe-v1
2026-07-24T17:08:48.071Z,nose-plier.jpg,0.543802,fringe-v1
2026-07-24T17:08:48.071Z,precision-screwdrivers.jpg,0.654096,fringe-v1
2026-07-24T17:08:48.071Z,red-screwdrivers.jpg,0.719053,fringe-v1
2026-07-24T17:09:49.808Z,mean,0.569083,fringe-v1
2026-07-24T17:09:49.808Z,knifes.jpg,0.410129,fringe-v1
2026-07-24T17:09:49.808Z,nose-plier.jpg,0.510835,fringe-v1
2026-07-24T17:09:49.808Z,precision-screwdrivers.jpg,0.651174,fringe-v1
2026-07-24T17:09:49.808Z,red-screwdrivers.jpg,0.704193,fringe-v1
2026-07-24T17:09:49.843Z,mean,0.569083,verify-tuned
2026-07-24T17:09:49.843Z,knifes.jpg,0.410129,verify-tuned
2026-07-24T17:09:49.843Z,nose-plier.jpg,0.510835,verify-tuned
2026-07-24T17:09:49.843Z,precision-screwdrivers.jpg,0.651174,verify-tuned
2026-07-24T17:09:49.843Z,red-screwdrivers.jpg,0.704193,verify-tuned
2026-07-24T17:10:16.788Z,mean,0.569083,edge-core-v1
2026-07-24T17:10:16.788Z,knifes.jpg,0.410129,edge-core-v1
2026-07-24T17:10:16.788Z,nose-plier.jpg,0.510835,edge-core-v1
2026-07-24T17:10:16.788Z,precision-screwdrivers.jpg,0.651174,edge-core-v1
2026-07-24T17:10:16.788Z,red-screwdrivers.jpg,0.704193,edge-core-v1
2026-07-24T17:11:00.353Z,mean,0.748957,edge-core-v1
2026-07-24T17:11:00.353Z,knifes.jpg,0.511873,edge-core-v1
2026-07-24T17:11:00.353Z,nose-plier.jpg,0.730059,edge-core-v1
2026-07-24T17:11:00.353Z,precision-screwdrivers.jpg,0.885043,edge-core-v1
2026-07-24T17:11:00.353Z,red-screwdrivers.jpg,0.868852,edge-core-v1
2026-07-24T17:11:00.379Z,mean,0.748957,verify-tuned
2026-07-24T17:11:00.379Z,knifes.jpg,0.511873,verify-tuned
2026-07-24T17:11:00.379Z,nose-plier.jpg,0.730059,verify-tuned
2026-07-24T17:11:00.379Z,precision-screwdrivers.jpg,0.885043,verify-tuned
